,min,max,media,Desviación Estándar
Marital status,1.0,6.0,1.1785714285714286,0.60574694613071
Application mode,1.0,18.0,6.886980108499096,5.298963721040199
Application order,0.0,9.0,1.7278481012658229,1.313793078362206
Course,1.0,17.0,9.899186256781194,4.331791970472733
Daytime/evening attendance,0.0,1.0,0.8908227848101266,0.3118966814817871
Previous qualification,1.0,17.0,2.5314195298372515,3.9637069515738004
Nacionality,1.0,21.0,1.2545207956600362,1.7484471702460693
Mother's qualification,1.0,29.0,12.322106690777577,9.026251036269628
Father's qualification,1.0,34.0,16.45524412296564,11.044799512789632
Mother's occupation,1.0,32.0,7.317811934900543,3.9978277059689704
Father's occupation,1.0,46.0,7.819168173598554,4.85669226579284
Displaced,0.0,1.0,0.548372513562387,0.49771085343169424
Educational special needs,0.0,1.0,0.011528028933092224,0.10676005722115345
Debtor,0.0,1.0,0.11369801084990959,0.3174800096578208
Tuition fees up to date,0.0,1.0,0.8806509945750453,0.3242353829723811
Gender,0.0,1.0,0.35171790235081374,0.47756043706245527
Scholarship holder,0.0,1.0,0.24841772151898733,0.43214415391219485
Age at enrollment,17.0,70.0,23.265144665461122,7.587815615029815
International,0.0,1.0,0.024864376130198915,0.15572931888680808
Curricular units 1st sem (credited),0.0,20.0,0.7099909584086799,2.3605066191181976
Curricular units 1st sem (enrolled),0.0,26.0,6.2705696202531644,2.480178175307158
Curricular units 1st sem (evaluations),0.0,45.0,8.299050632911392,4.179105569144036
Curricular units 1st sem (approved),0.0,26.0,4.706600361663653,3.094237979693975
Curricular units 1st sem (grade),0.0,18.875,10.640821575154185,4.843663380663813
Curricular units 1st sem (without evaluations),0.0,12.0,0.13765822784810128,0.6908801837297979
Curricular units 2nd sem (credited),0.0,19.0,0.5418173598553345,1.9185461437101994
Curricular units 2nd sem (enrolled),0.0,23.0,6.232142857142857,2.1959507514632417
Curricular units 2nd sem (evaluations),0.0,33.0,8.063291139240507,3.94795094143741
Curricular units 2nd sem (approved),0.0,20.0,4.435804701627487,3.014763902385539
Curricular units 2nd sem (grade),0.0,18.571428571428573,10.230205722716985,5.210807954644239
Curricular units 2nd sem (without evaluations),0.0,12.0,0.15031645569620253,0.7537740685130098
Unemployment rate,7.6,16.2,11.56613924050633,2.6638504843026354
Inflation rate,-0.8,3.7,1.228028933092224,1.3827106915401126
GDP,-4.06,3.51,0.001968806509945778,2.2699354412537676
